__errno_location scopelibc___errno_location
__isoc99_sscanf scope__iso99_sscanf
__snprintf_chk scope___snprintf_chk
__vfprintf_chk scope___vfprintf_chk
__vsnprintf_chk scope___vsnprintf_chk
accept scopelibc_accept
bind scopelibc_bind
calloc scopelibc_calloc
chmod scopelibc_chmod
clearerr scopelibc_clearerr
clock_gettime scopelibc_clock_gettime
close scopelibc_close
closedir scopelibc_closedir
connect scopelibc_connect
fclose scopelibc_fclose
fdopen scopelibc_fdopen
feof scopelibc_feof
ferror scopelibc_ferror
fflush scopelibc_fflush
fgets scopelibc_fgets
fileno scopelibc_fileno
fopen scopelibc_fopen
fopen64 scopelibc_fopen64
fputc scopelibc_fputc
fputs scopelibc_fputs
fread scopelibc_fread
free scopelibc_free
freeaddrinfo scopelibc_freeaddrinfo
fseek scopelibc_fseek
fstat scopelibc_fstat
ftell scopelibc_ftell
fwrite scopelibc_fwrite
gai_strerror scopelibc_gai_strerror
getaddrinfo scopelibc_getaddrinfo
getentropy scopelibc_getentropy
gethostbyname scopelibc_gethostbyname
getnameinfo scopelibc_getnameinfo
getpagesize scopelibc_getpagesize
getpid scopelibc_getpid
getsockname scopelibc_getsockname
getsockopt scopelibc_getsockopt
gettimeofday scopelibc_gettimeofday
gmtime_r scopelibc_gmtime_r
ioctl scopelibc_ioctl
listen scopelibc_listen
localeconv scopelibc_localeconv
lseek scopelibc_lseek
madvise scopelibc_madvise
malloc scopelibc_malloc
memchr scopelibc_memchr
memcmp scopelibc_memcmp
memcpy scopelibc_memcpy
memmove scopelibc_memmove
memset scopelibc_memset
mincore scopelibc_mincore
mlock scopelibc_mlock
mmap scopelibc_mmap
mprotect scopelibc_mprotect
msync scopelibc_msync
munmap scopelibc_munmap
open scopelibc_open
opendir scopelibc_opendir
perror scopelibc_perror
qsort scopelibc_qsort
qsort_r scopelibc_qsort_r
pipe2 scopelibc_pipe2
read scopelibc_read
readdir scopelibc_readdir
realloc scopelibc_realloc
recvfrom scopelibc_recvfrom
select scopelibc_select
sendto scopelibc_sendto
setbuf scopelibc_setbuf
setsockopt scopelibc_setsockopt
shmat scopelibc_shmat
shmdt scopelibc_shmdt
shmget scopelibc_shmget
shutdown scopelibc_shutdown
socket scopelibc_socket
sprintf scopelibc_sprintf
sscanf scopelibc_sscanf
stderr scopelibc_stderr
strcasecmp scopelibc_strcasecmp
strcat scopelibc_strcat
strchr scopelibc_strchr
strcmp scopelibc_strcmp
strcpy scopelibc_strcpy
strcspn scopelibc_strcspn
strdup scopelibc_strdup
strerror scopelibc_strerror
strerror_r scopelibc_strerror_r
strlen scopelibc_strlen
strncasecmp scopelibc_strncasecmp
strncmp scopelibc_strncmp
strncpy scopelibc_strncpy
strrchr scopelibc_strrchr
strspn scopelibc_strspn
strstr scopelibc_strstr
strtod scopelibc_strtod
strtol scopelibc_strtol
strtoul scopelibc_strtoul
syscall scopelibc_syscall
sysconf scopelibc_sysconf
tcgetattr scopelibc_tcgetattr
tcsetattr scopelibc_tcsetattr
time scopelibc_time
tolower scopelibc_tolower
toupper scopelibc_toupper
uname scopelibc_uname
usleep scopelibc_usleep
vfprintf scopelibc_vfprintf
vsnprintf scopelibc_vsnprintf
write scopelibc_write
